onset	duration	trial_type	value	sample
0.0	0.001	New Segment/	1	0
4.974	0.001	Stimulus/S226	23	4974
305.184	0.001	Stimulus/S230	24	305184
305.304	0.001	Stimulus/S 16	5	305304
317.028	0.001	Stimulus/S 20	6	317028
361.291	0.001	Stimulus/S  4	3	361291
361.342	0.001	Stimulus/S  6	4	361342
363.985	0.001	Stimulus/S134	15	363985
383.512	0.001	Stimulus/S 70	10	383512
386.028	0.001	Stimulus/S128	14	386028
393.673	0.001	Stimulus/S 64	8	393673
393.736	0.001	Stimulus/S  6	4	393736
396.659	0.001	Stimulus/S134	15	396659
416.287	0.001	Stimulus/S 70	10	416287
419.377	0.001	Stimulus/S128	14	419377
426.54	0.001	Stimulus/S 64	8	426540
426.604	0.001	Stimulus/S  6	4	426604
427.904	0.001	Stimulus/S194	20	427904
448.294	0.001	Stimulus/S 70	10	448294
450.7	0.001	Stimulus/S128	14	450700
456.909	0.001	Stimulus/S 64	8	456909
456.973	0.001	Stimulus/S  6	4	456973
458.931	0.001	Stimulus/S 32	7	458931
479.368	0.001	Stimulus/S 70	10	479368
481.532	0.001	Stimulus/S128	14	481532
490.149	0.001	Stimulus/S 64	8	490149
490.213	0.001	Stimulus/S  6	4	490213
492.815	0.001	Stimulus/S192	19	492815
512.709	0.001	Stimulus/S 70	10	512709
516.125	0.001	Stimulus/S128	14	516125
521.744	0.001	Stimulus/S 64	8	521744
521.808	0.001	Stimulus/S  6	4	521808
523.107	0.001	Stimulus/S160	16	523107
526.317	0.001	Stimulus/S 66	9	526317
536.313	0.001	Stimulus/S 66	9	536313
543.75	0.001	Stimulus/S 70	10	543750
545.451	0.001	Stimulus/S128	14	545451
551.385	0.001	Stimulus/S 64	8	551385
551.448	0.001	Stimulus/S  6	4	551448
552.9	0.001	Stimulus/S 32	7	552900
572.559	0.001	Stimulus/S 70	10	572559
574.59	0.001	Stimulus/S128	14	574590
579.65	0.001	Stimulus/S 64	8	579650
579.713	0.001	Stimulus/S  6	4	579713
581.957	0.001	Stimulus/S198	22	581957
602.501	0.001	Stimulus/S 70	10	602501
604.461	0.001	Stimulus/S128	14	604461
609.147	0.001	Stimulus/S 64	8	609147
609.21	0.001	Stimulus/S  6	4	609210
611.949	0.001	Stimulus/S194	20	611949
633.109	0.001	Stimulus/S 70	10	633109
635.074	0.001	Stimulus/S128	14	635074
641.016	0.001	Stimulus/S 64	8	641016
641.078	0.001	Stimulus/S  6	4	641078
642.709	0.001	Stimulus/S196	21	642709
663.495	0.001	Stimulus/S 70	10	663495
667.171	0.001	Stimulus/S128	14	667171
672.404	0.001	Stimulus/S 64	8	672404
672.468	0.001	Stimulus/S  6	4	672468
673.733	0.001	Stimulus/S100	12	673733
682.933	0.001	Stimulus/S 66	9	682933
694.537	0.001	Stimulus/S 70	10	694537
697.253	0.001	Stimulus/S128	14	697253
701.493	0.001	Stimulus/S 64	8	701493
701.557	0.001	Stimulus/S  6	4	701557
702.967	0.001	Stimulus/S162	17	702967
716.163	0.001	Stimulus/S 66	9	716163
722.535	0.001	Stimulus/S 70	10	722535
725.684	0.001	Stimulus/S128	14	725684
730.23	0.001	Stimulus/S 64	8	730230
730.292	0.001	Stimulus/S  6	4	730292
732.614	0.001	Stimulus/S198	22	732614
752.466	0.001	Stimulus/S 70	10	752466
754.801	0.001	Stimulus/S128	14	754801
759.739	0.001	Stimulus/S 64	8	759739
759.801	0.001	Stimulus/S  6	4	759801
762.152	0.001	Stimulus/S192	19	762152
782.375	0.001	Stimulus/S 70	10	782375
797.292	0.001	Stimulus/S128	14	797292
800.849	0.001	Stimulus/S 64	8	800849
800.912	0.001	Stimulus/S  6	4	800912
802.857	0.001	Stimulus/S196	21	802857
822.956	0.001	Stimulus/S 70	10	822956
824.538	0.001	Stimulus/S128	14	824538
829.975	0.001	Stimulus/S 64	8	829975
830.039	0.001	Stimulus/S  2	2	830039
851.583	0.001	Stimulus/S  4	3	851583
851.645	0.001	Stimulus/S  6	4	851645
853.743	0.001	Stimulus/S198	22	853743
873.1	0.001	Stimulus/S 70	10	873100
875.003	0.001	Stimulus/S128	14	875003
879.576	0.001	Stimulus/S 64	8	879576
879.64	0.001	Stimulus/S  6	4	879640
882.215	0.001	Stimulus/S194	20	882215
901.731	0.001	Stimulus/S 70	10	901731
904.072	0.001	Stimulus/S128	14	904072
908.198	0.001	Stimulus/S 64	8	908198
908.261	0.001	Stimulus/S  6	4	908261
909.418	0.001	Stimulus/S 32	7	909418
929.351	0.001	Stimulus/S 70	10	929351
931.569	0.001	Stimulus/S128	14	931569
938.456	0.001	Stimulus/S 64	8	938456
938.519	0.001	Stimulus/S  6	4	938519
941.239	0.001	Stimulus/S194	20	941239
960.959	0.001	Stimulus/S 70	10	960959
964.049	0.001	Stimulus/S128	14	964049
967.658	0.001	Stimulus/S 64	8	967658
967.722	0.001	Stimulus/S  6	4	967722
969.927	0.001	Stimulus/S196	21	969927
990.446	0.001	Stimulus/S 70	10	990446
992.528	0.001	Stimulus/S128	14	992528
1000.197	0.001	Stimulus/S 64	8	1000197
1000.258	0.001	Stimulus/S  6	4	1000258
1003.125	0.001	Stimulus/S198	22	1003125
1022.742	0.001	Stimulus/S 70	10	1022742
1024.699	0.001	Stimulus/S128	14	1024699
1028.747	0.001	Stimulus/S 64	8	1028747
1028.811	0.001	Stimulus/S  6	4	1028811
1030.08	0.001	Stimulus/S192	19	1030080
1050.885	0.001	Stimulus/S 70	10	1050885
1052.782	0.001	Stimulus/S128	14	1052782
1057.022	0.001	Stimulus/S 64	8	1057022
1057.085	0.001	Stimulus/S  6	4	1057085
1058.335	0.001	Stimulus/S162	17	1058335
1061.539	0.001	Stimulus/S 66	9	1061539
1078.75	0.001	Stimulus/S 70	10	1078750
1081.775	0.001	Stimulus/S128	14	1081775
1085.393	0.001	Stimulus/S 64	8	1085393
1085.457	0.001	Stimulus/S  6	4	1085457
1087.945	0.001	Stimulus/S102	13	1087945
1101.142	0.001	Stimulus/S 66	9	1101142
1108.536	0.001	Stimulus/S 70	10	1108536
1111.004	0.001	Stimulus/S128	14	1111004
1115.246	0.001	Stimulus/S 64	8	1115246
1115.31	0.001	Stimulus/S  6	4	1115310
1117.449	0.001	Stimulus/S134	15	1117449
1137.734	0.001	Stimulus/S 70	10	1137734
1140.005	0.001	Stimulus/S128	14	1140005
1145.306	0.001	Stimulus/S 64	8	1145306
1145.37	0.001	Stimulus/S  6	4	1145370
1147.986	0.001	Stimulus/S134	15	1147986
1167.587	0.001	Stimulus/S 70	10	1167587
1169.413	0.001	Stimulus/S128	14	1169413
1172.196	0.001	Stimulus/S 64	8	1172196
1172.259	0.001	Stimulus/S  6	4	1172259
1175.209	0.001	Stimulus/S 32	7	1175209
1196.374	0.001	Stimulus/S 70	10	1196374
1201.051	0.001	Stimulus/S128	14	1201051
1205.681	0.001	Stimulus/S 64	8	1205681
1205.744	0.001	Stimulus/S  6	4	1205744
1208.281	0.001	Stimulus/S192	19	1208281
1228.759	0.001	Stimulus/S 70	10	1228759
1230.471	0.001	Stimulus/S128	14	1230471
1247.451	0.001	Stimulus/S 64	8	1247451
1247.514	0.001	Stimulus/S  6	4	1247514
1250.198	0.001	Stimulus/S196	21	1250198
1270.562	0.001	Stimulus/S 70	10	1270562
1272.714	0.001	Stimulus/S128	14	1272714
1276.199	0.001	Stimulus/S 64	8	1276199
1276.262	0.001	Stimulus/S  6	4	1276262
1279.027	0.001	Stimulus/S 98	11	1279027
1284.237	0.001	Stimulus/S 66	9	1284237
1294.232	0.001	Stimulus/S 66	9	1294232
1299.493	0.001	Stimulus/S 70	10	1299493
1301.323	0.001	Stimulus/S128	14	1301323
1307.471	0.001	Stimulus/S 64	8	1307471
1307.534	0.001	Stimulus/S  2	2	1307534
1373.403	0.001	Stimulus/S  4	3	1373403
1373.455	0.001	Stimulus/S  6	4	1373455
1374.878	0.001	Stimulus/S198	22	1374878
1395.471	0.001	Stimulus/S 70	10	1395471
1397.234	0.001	Stimulus/S128	14	1397234
1403.441	0.001	Stimulus/S 64	8	1403441
1403.504	0.001	Stimulus/S  6	4	1403504
1406.488	0.001	Stimulus/S198	22	1406488
1426.968	0.001	Stimulus/S 70	10	1426968
1429.18	0.001	Stimulus/S128	14	1429180
1435.211	0.001	Stimulus/S 64	8	1435211
1435.274	0.001	Stimulus/S  6	4	1435274
1437.439	0.001	Stimulus/S194	20	1437439
1457.243	0.001	Stimulus/S 70	10	1457243
1467.183	0.001	Stimulus/S128	14	1467183
1472.105	0.001	Stimulus/S 64	8	1472105
1472.169	0.001	Stimulus/S  6	4	1472169
1473.431	0.001	Stimulus/S196	21	1473431
1494.127	0.001	Stimulus/S 70	10	1494127
1496.398	0.001	Stimulus/S128	14	1496398
1502.667	0.001	Stimulus/S 64	8	1502667
1502.731	0.001	Stimulus/S  6	4	1502731
1505.054	0.001	Stimulus/S134	15	1505054
1526.112	0.001	Stimulus/S 70	10	1526112
1527.506	0.001	Stimulus/S128	14	1527506
1534.022	0.001	Stimulus/S 64	8	1534022
1534.086	0.001	Stimulus/S  6	4	1534086
1535.266	0.001	Stimulus/S194	20	1535266
1556.098	0.001	Stimulus/S 70	10	1556098
1562.167	0.001	Stimulus/S128	14	1562167
1568.164	0.001	Stimulus/S 64	8	1568164
1568.228	0.001	Stimulus/S  6	4	1568228
1570.493	0.001	Stimulus/S134	15	1570493
1589.961	0.001	Stimulus/S 70	10	1589961
1592.232	0.001	Stimulus/S128	14	1592232
1598.244	0.001	Stimulus/S 64	8	1598244
1598.304	0.001	Stimulus/S  6	4	1598304
1599.882	0.001	Stimulus/S196	21	1599882
1620.058	0.001	Stimulus/S 70	10	1620058
1621.696	0.001	Stimulus/S128	14	1621696
1626.503	0.001	Stimulus/S 64	8	1626503
1626.565	0.001	Stimulus/S  6	4	1626565
1628.238	0.001	Stimulus/S164	18	1628238
1645.438	0.001	Stimulus/S 66	9	1645438
1648.523	0.001	Stimulus/S 70	10	1648523
1650.414	0.001	Stimulus/S128	14	1650414
1656.046	0.001	Stimulus/S 64	8	1656046
1656.11	0.001	Stimulus/S  6	4	1656110
1657.672	0.001	Stimulus/S160	16	1657672
1666.873	0.001	Stimulus/S 66	9	1666873
1677.643	0.001	Stimulus/S 70	10	1677643
1679.657	0.001	Stimulus/S128	14	1679657
1684.224	0.001	Stimulus/S 64	8	1684224
1684.287	0.001	Stimulus/S  6	4	1684287
1687.349	0.001	Stimulus/S 32	7	1687349
1707.684	0.001	Stimulus/S 70	10	1707684
1709.45	0.001	Stimulus/S128	14	1709450
1715.133	0.001	Stimulus/S 64	8	1715133
1715.195	0.001	Stimulus/S  6	4	1715195
1716.806	0.001	Stimulus/S192	19	1716806
1737.16	0.001	Stimulus/S 70	10	1737160
1738.669	0.001	Stimulus/S128	14	1738669
1741.266	0.001	Stimulus/S 64	8	1741266
1741.327	0.001	Stimulus/S  6	4	1741327
1742.528	0.001	Stimulus/S 32	7	1742528
1763.547	0.001	Stimulus/S 70	10	1763547
1765.953	0.001	Stimulus/S128	14	1765953
1769.492	0.001	Stimulus/S 64	8	1769492
1769.554	0.001	Stimulus/S  6	4	1769554
1772.174	0.001	Stimulus/S 98	11	1772174
1779.377	0.001	Stimulus/S 66	9	1779377
1785.374	0.001	Stimulus/S 66	9	1785374
1792.124	0.001	Stimulus/S 70	10	1792124
1795.468	0.001	Stimulus/S128	14	1795468
1799.543	0.001	Stimulus/S 64	8	1799543
1799.606	0.001	Stimulus/S  6	4	1799606
1800.682	0.001	Stimulus/S192	19	1800682
1820.344	0.001	Stimulus/S 70	10	1820344
